asset,date,AdrActCnt,BlkCnt,DiffMean,FeeTotUSD,HashRate,IssTotUSD,PriceUSD,TxCnt
btc,2009-01-03T00:00:00.000000000Z,0,0,,,,,,0
btc,2009-01-04T00:00:00.000000000Z,0,0,,,,,,0
btc,2009-01-05T00:00:00.000000000Z,0,0,,,,,,0
btc,2009-01-06T00:00:00.000000000Z,0,0,,,,,,0
btc,2009-01-07T00:00:00.000000000Z,0,0,,,,,,0
btc,2009-01-08T00:00:00.000000000Z,0,0,,,,,,0
btc,2009-01-09T00:00:00.000000000Z,19,19,1,,0.000000944495122962963,,,0
btc,2009-01-10T00:00:00.000000000Z,61,61,1,,0.00000303232644740741,,,0
btc,2009-01-11T00:00:00.000000000Z,95,93,1,,0.00000462305507555556,,,1
btc,2009-01-12T00:00:00.000000000Z,101,94,1,,0.00000467276534518519,,,6
btc,2009-01-13T00:00:00.000000000Z,123,123,1,,0.00000611436316444444,,,0
btc,2009-01-14T00:00:00.000000000Z,133,129,1,,0.00000641262478222222,,,1
btc,2009-01-15T00:00:00.000000000Z,140,126,1,,0.00000626349397333333,,,8
btc,2009-01-16T00:00:00.000000000Z,114,108,1,,0.00000536870912,,,2
btc,2009-01-17T00:00:00.000000000Z,109,109,1,,0.00000541841938962963,,,0
btc,2009-01-18T00:00:00.000000000Z,111,107,1,,0.00000531899885037037,,,1
btc,2009-01-19T00:00:00.000000000Z,133,115,1,,0.00000571668100740741,,,2
btc,2009-01-20T00:00:00.000000000Z,123,114,1,,0.00000566697073777778,,,1
btc,2009-01-21T00:00:00.000000000Z,116,102,1,,0.00000507044750222222,,,2
btc,2009-01-22T00:00:00.000000000Z,95,91,1,,0.0000045236345362963,,,1
btc,2009-01-23T00:00:00.000000000Z,91,84,1,,0.00000417566264888889,,,1
btc,2009-01-24T00:00:00.000000000Z,212,201,1,,0.00000999176419555555,,,1
btc,2009-01-25T00:00:00.000000000Z,193,191,1,,0.00000949466149925926,,,1
btc,2009-01-26T00:00:00.000000000Z,117,96,1,,0.00000477218588444444,,,1
btc,2009-01-27T00:00:00.000000000Z,101,97,1,,0.00000482189615407407,,,1
btc,2009-01-28T00:00:00.000000000Z,112,112,1,,0.00000556755019851852,,,0
btc,2009-01-29T00:00:00.000000000Z,134,121,1,,0.00000601494262518518,,,1
btc,2009-01-30T00:00:00.000000000Z,117,117,1,,0.00000581610154666667,,,0
btc,2009-01-31T00:00:00.000000000Z,159,138,1,,0.00000686001720888889,,,1
btc,2009-02-01T00:00:00.000000000Z,116,113,1,,0.00000561726046814815,,,1
btc,2009-02-02T00:00:00.000000000Z,130,128,1,,0.00000636291451259259,,,1
btc,2009-02-03T00:00:00.000000000Z,154,139,1,,0.00000690972747851852,,,16
btc,2009-02-04T00:00:00.000000000Z,119,119,1,,0.00000591552208592593,,,0
btc,2009-02-05T00:00:00.000000000Z,126,126,1,,0.00000626349397333333,,,0
btc,2009-02-06T00:00:00.000000000Z,122,122,1,,0.00000606465289481481,,,0
btc,2009-02-07T00:00:00.000000000Z,156,129,1,,0.00000641262478222222,,,4
btc,2009-02-08T00:00:00.000000000Z,134,132,1,,0.00000656175559111111,,,1
btc,2009-02-09T00:00:00.000000000Z,179,134,1,,0.00000666117613037037,,,1
btc,2009-02-10T00:00:00.000000000Z,120,120,1,,0.00000596523235555556,,,0
btc,2009-02-11T00:00:00.000000000Z,148,133,1,,0.00000661146586074074,,,2
btc,2009-02-12T00:00:00.000000000Z,119,119,1,,0.00000591552208592593,,,0
btc,2009-02-13T00:00:00.000000000Z,124,124,1,,0.00000616407343407407,,,0
btc,2009-02-14T00:00:00.000000000Z,136,136,1,,0.00000676059666962963,,,0
btc,2009-02-15T00:00:00.000000000Z,142,128,1,,0.00000636291451259259,,,3
btc,2009-02-16T00:00:00.000000000Z,153,122,1,,0.00000606465289481481,,,1
btc,2009-02-17T00:00:00.000000000Z,117,117,1,,0.00000581610154666667,,,0
btc,2009-02-18T00:00:00.000000000Z,118,118,1,,0.0000058658118162963,,,0
btc,2009-02-19T00:00:00.000000000Z,141,124,1,,0.00000616407343407407,,,1
btc,2009-02-20T00:00:00.000000000Z,122,122,1,,0.00000606465289481481,,,0
btc,2009-02-21T00:00:00.000000000Z,114,114,1,,0.00000566697073777778,,,0
btc,2009-02-22T00:00:00.000000000Z,133,121,1,,0.00000601494262518518,,,4
btc,2009-02-23T00:00:00.000000000Z,108,108,1,,0.00000536870912,,,0
btc,2009-02-24T00:00:00.000000000Z,106,106,1,,0.00000526928858074074,,,0
btc,2009-02-25T00:00:00.000000000Z,105,105,1,,0.00000521957831111111,,,0
btc,2009-02-26T00:00:00.000000000Z,107,107,1,,0.00000531899885037037,,,0
btc,2009-02-27T00:00:00.000000000Z,152,115,1,,0.00000571668100740741,,,1
btc,2009-02-28T00:00:00.000000000Z,107,99,1,,0.00000492131669333333,,,1
btc,2009-03-01T00:00:00.000000000Z,105,105,1,,0.00000521957831111111,,,0
btc,2009-03-02T00:00:00.000000000Z,108,108,1,,0.00000536870912,,,0
btc,2009-03-03T00:00:00.000000000Z,114,105,1,,0.00000521957831111111,,,2
btc,2009-03-04T00:00:00.000000000Z,130,104,1,,0.00000516986804148148,,,2
btc,2009-03-05T00:00:00.000000000Z,121,112,1,,0.00000556755019851852,,,1
btc,2009-03-06T00:00:00.000000000Z,117,117,1,,0.00000581610154666667,,,0
btc,2009-03-07T00:00:00.000000000Z,109,109,1,,0.00000541841938962963,,,0
btc,2009-03-08T00:00:00.000000000Z,142,115,1,,0.00000571668100740741,,,3
btc,2009-03-09T00:00:00.000000000Z,108,108,1,,0.00000536870912,,,0
btc,2009-03-10T00:00:00.000000000Z,107,107,1,,0.00000531899885037037,,,0
btc,2009-03-11T00:00:00.000000000Z,114,114,1,,0.00000566697073777778,,,0
btc,2009-03-12T00:00:00.000000000Z,122,118,1,,0.0000058658118162963,,,1
btc,2009-03-13T00:00:00.000000000Z,127,113,1,,0.00000561726046814815,,,1
btc,2009-03-14T00:00:00.000000000Z,110,110,1,,0.00000546812965925926,,,0
btc,2009-03-15T00:00:00.000000000Z,123,123,1,,0.00000611436316444444,,,0
btc,2009-03-16T00:00:00.000000000Z,170,121,1,,0.00000601494262518518,,,1
btc,2009-03-17T00:00:00.000000000Z,114,114,1,,0.00000566697073777778,,,0
btc,2009-03-18T00:00:00.000000000Z,129,114,1,,0.00000566697073777778,,,2
btc,2009-03-19T00:00:00.000000000Z,122,122,1,,0.00000606465289481481,,,0
btc,2009-03-20T00:00:00.000000000Z,131,118,1,,0.0000058658118162963,,,1
btc,2009-03-21T00:00:00.000000000Z,50,50,1,,0.00000248551348148148,,,0
btc,2009-03-22T00:00:00.000000000Z,131,119,1,,0.00000591552208592593,,,2
