asset,date,AdrActCnt,BlkCnt,FeeTotUSD,IssTotUSD,PriceUSD,TxCnt
ada,2017-09-23T00:00:00.000000000Z,0,406,,,,0
ada,2017-09-24T00:00:00.000000000Z,8,4320,,,,5
ada,2017-09-25T00:00:00.000000000Z,16,4320,,,,8
ada,2017-09-26T00:00:00.000000000Z,4,4320,,,,1
ada,2017-09-27T00:00:00.000000000Z,12,4320,,,,6
ada,2017-09-28T00:00:00.000000000Z,65,4306,,,,36
ada,2017-09-29T00:00:00.000000000Z,4747,4320,,,,2487
ada,2017-09-30T00:00:00.000000000Z,4976,4319,,,,2528
ada,2017-10-01T00:00:00.000000000Z,5973,4316,,,,3096
ada,2017-10-02T00:00:00.000000000Z,5858,4314,,,,2943
ada,2017-10-03T00:00:00.000000000Z,3701,4320,,,,1808
ada,2017-10-04T00:00:00.000000000Z,1769,4319,,,,859
ada,2017-10-05T00:00:00.000000000Z,2454,4320,,,,1193
ada,2017-10-06T00:00:00.000000000Z,1844,4320,,,,889
ada,2017-10-07T00:00:00.000000000Z,1371,4320,,,,671
ada,2017-10-08T00:00:00.000000000Z,1406,4319,,,,679
ada,2017-10-09T00:00:00.000000000Z,1460,4319,,,,680
ada,2017-10-10T00:00:00.000000000Z,1376,4319,,,,660
ada,2017-10-11T00:00:00.000000000Z,1172,4319,,,,557
ada,2017-10-12T00:00:00.000000000Z,1411,4320,,,,672
ada,2017-10-13T00:00:00.000000000Z,1642,4320,,,,782
ada,2017-10-14T00:00:00.000000000Z,1944,4320,,,,930
ada,2017-10-15T00:00:00.000000000Z,1450,4320,,,,726
ada,2017-10-16T00:00:00.000000000Z,1311,4320,,,,626
ada,2017-10-17T00:00:00.000000000Z,1343,4320,,,,669
ada,2017-10-18T00:00:00.000000000Z,1042,4320,,,,502
ada,2017-10-19T00:00:00.000000000Z,1124,4318,,,,536
ada,2017-10-20T00:00:00.000000000Z,1477,4320,,,,705
ada,2017-10-21T00:00:00.000000000Z,1204,4320,,,,578
