date,btc_flow_usd,eth_flow_usd,btc_aum_usd,eth_aum_usd
2025-09-27 20:18:46.560125,186579303,-180459169,149546579303,22399540831
2025-09-28 20:18:46.560125,-473144908,-4689515,149073434395,22394851316
2025-09-29 20:18:46.560125,-237049372,-60329289,148836385023,22334522027
2025-09-30 20:18:46.560125,-350172294,-189946647,148486212729,22144575380
2025-10-01 20:18:46.560125,226600539,285582861,148712813268,22430158241
2025-10-02 20:18:46.560125,-406650144,153035110,148306163124,22583193351
2025-10-03 20:18:46.560125,-465873604,-268005477,147840289520,22315187874
2025-10-04 20:18:46.560125,-399395498,-65239262,147440894022,22249948612
2025-10-05 20:18:46.560125,-250182266,242621108,147190711756,22492569720
2025-10-06 20:18:46.560125,146412689,-271507220,147337124445,22221062500
2025-10-07 20:18:46.560125,102632297,-86499702,147439756742,22134562798
2025-10-08 20:18:46.560125,268820204,285126461,147708576946,22419689259
2025-10-09 20:18:46.560125,-49544023,-63303688,147659032923,22356385571
2025-10-10 20:18:46.560125,-17665462,-1295004,147641367461,22355090567
2025-10-11 20:18:46.560125,369119330,-293022009,148010486791,22062068558
2025-10-12 20:18:46.560125,314763202,-128567119,148325249993,21933501439
2025-10-13 20:18:46.560125,249621470,153778756,148574871463,22087280195
2025-10-14 20:18:46.560125,-134658787,-1637918,148440212676,22085642277
2025-10-15 20:18:46.560125,-333055156,-68808610,148107157520,22016833667
2025-10-16 20:18:46.560125,319795579,61415646,148426953099,22078249313
2025-10-17 20:18:46.560125,-390252549,-200414908,148036700550,21877834405
2025-10-18 20:18:46.560125,-92056161,-196151579,147944644389,21681682826
2025-10-19 20:18:46.560125,-114548829,69319644,147830095560,21751002470
2025-10-20 20:18:46.560125,148245888,-15972887,147978341448,21735029583
2025-10-21 20:18:46.560125,366647391,-253345448,148344988839,21481684135
2025-10-22 20:18:46.560125,283543540,193303705,148628532379,21674987840
2025-10-23 20:18:46.560125,75770529,-165968930,148704302908,21509018910
2025-10-24 20:18:46.560125,490307112,106448196,149194610020,21615467106
2025-10-25 20:18:46.560125,-415388934,292749116,148779221086,21908216222
2025-10-26 20:18:46.560125,91000000,-94000000,149360000000,22580000000
