value,value_classification,timestamp,time_until_update
30,Fear,2024-08-28,
29,Fear,2024-08-29,
34,Fear,2024-08-30,
29,Fear,2024-08-31,
26,Fear,2024-09-01,
26,Fear,2024-09-02,
26,Fear,2024-09-03,
27,Fear,2024-09-04,
29,Fear,2024-09-05,
22,Extreme Fear,2024-09-06,
23,Extreme Fear,2024-09-07,
29,Fear,2024-09-08,
26,Fear,2024-09-09,
33,Fear,2024-09-10,
37,Fear,2024-09-11,
31,Fear,2024-09-12,
32,Fear,2024-09-13,
50,Neutral,2024-09-14,
51,Neutral,2024-09-15,
39,Fear,2024-09-16,
33,Fear,2024-09-17,
45,Fear,2024-09-18,
49,Neutral,2024-09-19,
54,Neutral,2024-09-20,
54,Neutral,2024-09-21,
52,Neutral,2024-09-22,
50,Neutral,2024-09-23,
54,Neutral,2024-09-24,
59,Greed,2024-09-25,
50,Neutral,2024-09-26,
61,Greed,2024-09-27,
64,Greed,2024-09-28,
63,Greed,2024-09-29,
61,Greed,2024-09-30,
50,Neutral,2024-10-01,
42,Fear,2024-10-02,
37,Fear,2024-10-03,
41,Fear,2024-10-04,
49,Neutral,2024-10-05,
50,Neutral,2024-10-06,
50,Neutral,2024-10-07,
49,Neutral,2024-10-08,
49,Neutral,2024-10-09,
39,Fear,2024-10-10,
32,Fear,2024-10-11,
49,Neutral,2024-10-12,
50,Neutral,2024-10-13,
48,Neutral,2024-10-14,
65,Greed,2024-10-15,
73,Greed,2024-10-16,
71,Greed,2024-10-17,
73,Greed,2024-10-18,
72,Greed,2024-10-19,
73,Greed,2024-10-20,
72,Greed,2024-10-21,
70,Greed,2024-10-22,
71,Greed,2024-10-23,
69,Greed,2024-10-24,
72,Greed,2024-10-25,
74,Greed,2024-10-27,
72,Greed,2024-10-28,
72,Greed,2024-10-29,
77,Extreme Greed,2024-10-30,
77,Extreme Greed,2024-10-31,
75,Greed,2024-11-01,
72,Greed,2024-11-02,
74,Greed,2024-11-03,
70,Greed,2024-11-04,
70,Greed,2024-11-05,
70,Greed,2024-11-06,
77,Extreme Greed,2024-11-07,
75,Greed,2024-11-08,
75,Greed,2024-11-09,
78,Extreme Greed,2024-11-10,
76,Extreme Greed,2024-11-11,
80,Extreme Greed,2024-11-12,
84,Extreme Greed,2024-11-13,
88,Extreme Greed,2024-11-14,
80,Extreme Greed,2024-11-15,
86,Extreme Greed,2024-11-16,
90,Extreme Greed,2024-11-17,
83,Extreme Greed,2024-11-18,
90,Extreme Greed,2024-11-19,
83,Extreme Greed,2024-11-20,
82,Extreme Greed,2024-11-21,
94,Extreme Greed,2024-11-22,
93,Extreme Greed,2024-11-23,
80,Extreme Greed,2024-11-24,
82,Extreme Greed,2024-11-25,
79,Extreme Greed,2024-11-26,
75,Greed,2024-11-27,
77,Extreme Greed,2024-11-28,
78,Extreme Greed,2024-11-29,
84,Extreme Greed,2024-11-30,
81,Extreme Greed,2024-12-01,
80,Extreme Greed,2024-12-02,
76,Extreme Greed,2024-12-03,
78,Extreme Greed,2024-12-04,
84,Extreme Greed,2024-12-05,
72,Greed,2024-12-06,
75,Greed,2024-12-07,
79,Extreme Greed,2024-12-08,
78,Extreme Greed,2024-12-09,
78,Extreme Greed,2024-12-10,
74,Greed,2024-12-11,
83,Extreme Greed,2024-12-12,
76,Extreme Greed,2024-12-13,
83,Extreme Greed,2024-12-14,
80,Extreme Greed,2024-12-15,
83,Extreme Greed,2024-12-16,
87,Extreme Greed,2024-12-17,
81,Extreme Greed,2024-12-18,
75,Greed,2024-12-19,
74,Greed,2024-12-20,
73,Greed,2024-12-21,
73,Greed,2024-12-22,
70,Greed,2024-12-23,
73,Greed,2024-12-24,
73,Greed,2024-12-25,
79,Extreme Greed,2024-12-26,
74,Greed,2024-12-27,
72,Greed,2024-12-28,
73,Greed,2024-12-29,
65,Greed,2024-12-30,
64,Greed,2024-12-31,
66,Greed,2025-01-01,
70,Greed,2025-01-02,
74,Greed,2025-01-03,
73,Greed,2025-01-04,
72,Greed,2025-01-05,
76,Extreme Greed,2025-01-06,
78,Extreme Greed,2025-01-07,
70,Greed,2025-01-08,
69,Greed,2025-01-09,
50,Neutral,2025-01-10,
69,Greed,2025-01-11,
62,Greed,2025-01-12,
61,Greed,2025-01-13,
63,Greed,2025-01-14,
70,Greed,2025-01-15,
75,Greed,2025-01-16,
75,Greed,2025-01-17,
77,Extreme Greed,2025-01-18,
77,Extreme Greed,2025-01-19,
76,Extreme Greed,2025-01-20,
76,Extreme Greed,2025-01-21,
84,Extreme Greed,2025-01-22,
75,Greed,2025-01-23,
75,Greed,2025-01-24,
75,Greed,2025-01-25,
73,Greed,2025-01-26,
71,Greed,2025-01-27,
72,Greed,2025-01-28,
72,Greed,2025-01-29,
70,Greed,2025-01-30,
76,Extreme Greed,2025-01-31,
68,Greed,2025-02-01,
60,Greed,2025-02-02,
44,Fear,2025-02-03,
72,Greed,2025-02-04,
54,Neutral,2025-02-05,
49,Neutral,2025-02-06,
44,Fear,2025-02-07,
44,Fear,2025-02-08,
46,Fear,2025-02-09,
43,Fear,2025-02-10,
47,Neutral,2025-02-11,
46,Fear,2025-02-12,
50,Neutral,2025-02-13,
48,Neutral,2025-02-14,
50,Neutral,2025-02-15,
54,Neutral,2025-02-16,
51,Neutral,2025-02-17,
47,Neutral,2025-02-18,
44,Fear,2025-02-19,
49,Neutral,2025-02-20,
55,Greed,2025-02-21,
49,Neutral,2025-02-22,
50,Neutral,2025-02-23,
49,Neutral,2025-02-24,
25,Extreme Fear,2025-02-25,
21,Extreme Fear,2025-02-26,
10,Extreme Fear,2025-02-27,
16,Extreme Fear,2025-02-28,
20,Extreme Fear,2025-03-01,
26,Fear,2025-03-02,
33,Fear,2025-03-03,
15,Extreme Fear,2025-03-04,
20,Extreme Fear,2025-03-05,
25,Extreme Fear,2025-03-06,
34,Fear,2025-03-07,
28,Fear,2025-03-08,
27,Fear,2025-03-09,
20,Extreme Fear,2025-03-10,
24,Extreme Fear,2025-03-11,
34,Fear,2025-03-12,
45,Fear,2025-03-13,
27,Fear,2025-03-14,
46,Fear,2025-03-15,
30,Fear,2025-03-16,
32,Fear,2025-03-17,
34,Fear,2025-03-18,
32,Fear,2025-03-19,
49,Neutral,2025-03-20,
31,Fear,2025-03-21,
32,Fear,2025-03-22,
30,Fear,2025-03-23,
45,Fear,2025-03-24,
46,Fear,2025-03-25,
47,Neutral,2025-03-26,
40,Fear,2025-03-27,
44,Fear,2025-03-28,
26,Fear,2025-03-29,
32,Fear,2025-03-30,
34,Fear,2025-03-31,
34,Fear,2025-04-01,
44,Fear,2025-04-02,
25,Extreme Fear,2025-04-03,
28,Fear,2025-04-04,
30,Fear,2025-04-05,
34,Fear,2025-04-06,
23,Extreme Fear,2025-04-07,
24,Extreme Fear,2025-04-08,
18,Extreme Fear,2025-04-09,
39,Fear,2025-04-10,
25,Extreme Fear,2025-04-11,
43,Fear,2025-04-12,
45,Fear,2025-04-13,
31,Fear,2025-04-14,
38,Fear,2025-04-15,
29,Fear,2025-04-16,
30,Fear,2025-04-17,
33,Fear,2025-04-18,
32,Fear,2025-04-19,
37,Fear,2025-04-20,
39,Fear,2025-04-21,
47,Neutral,2025-04-22,
72,Greed,2025-04-23,
63,Greed,2025-04-24,
60,Greed,2025-04-25,
65,Greed,2025-04-26,
61,Greed,2025-04-27,
54,Neutral,2025-04-28,
60,Greed,2025-04-29,
56,Greed,2025-04-30,
53,Neutral,2025-05-01,
67,Greed,2025-05-02,
65,Greed,2025-05-03,
64,Greed,2025-05-04,
52,Neutral,2025-05-05,
59,Greed,2025-05-06,
67,Greed,2025-05-07,
65,Greed,2025-05-08,
73,Greed,2025-05-09,
70,Greed,2025-05-10,
70,Greed,2025-05-11,
70,Greed,2025-05-12,
70,Greed,2025-05-13,
73,Greed,2025-05-14,
70,Greed,2025-05-15,
71,Greed,2025-05-16,
74,Greed,2025-05-17,
74,Greed,2025-05-18,
74,Greed,2025-05-19,
71,Greed,2025-05-20,
70,Greed,2025-05-21,
72,Greed,2025-05-22,
78,Extreme Greed,2025-05-23,
66,Greed,2025-05-24,
74,Greed,2025-05-25,
73,Greed,2025-05-26,
74,Greed,2025-05-27,
71,Greed,2025-05-28,
74,Greed,2025-05-29,
60,Greed,2025-05-30,
50,Neutral,2025-05-31,
56,Greed,2025-06-01,
64,Greed,2025-06-02,
64,Greed,2025-06-03,
62,Greed,2025-06-04,
57,Greed,2025-06-05,
45,Fear,2025-06-06,
52,Neutral,2025-06-07,
62,Greed,2025-06-08,
62,Greed,2025-06-09,
71,Greed,2025-06-10,
72,Greed,2025-06-11,
71,Greed,2025-06-12,
61,Greed,2025-06-13,
63,Greed,2025-06-14,
60,Greed,2025-06-15,
61,Greed,2025-06-16,
68,Greed,2025-06-17,
52,Neutral,2025-06-18,
57,Greed,2025-06-19,
54,Neutral,2025-06-20,
49,Neutral,2025-06-21,
42,Fear,2025-06-22,
47,Neutral,2025-06-23,
65,Greed,2025-06-24,
66,Greed,2025-06-25,
74,Greed,2025-06-26,
65,Greed,2025-06-27,
65,Greed,2025-06-28,
68,Greed,2025-06-29,
66,Greed,2025-06-30,
64,Greed,2025-07-01,
63,Greed,2025-07-02,
73,Greed,2025-07-03,
73,Greed,2025-07-04,
67,Greed,2025-07-05,
66,Greed,2025-07-06,
73,Greed,2025-07-07,
65,Greed,2025-07-08,
66,Greed,2025-07-09,
71,Greed,2025-07-10,
71,Greed,2025-07-11,
79,Extreme Greed,2025-07-12,
74,Greed,2025-07-13,
74,Greed,2025-07-14,
73,Greed,2025-07-15,
70,Greed,2025-07-16,
74,Greed,2025-07-17,
73,Greed,2025-07-18,
74,Greed,2025-07-19,
72,Greed,2025-07-20,
71,Greed,2025-07-21,
72,Greed,2025-07-22,
74,Greed,2025-07-23,
71,Greed,2025-07-24,
70,Greed,2025-07-25,
72,Greed,2025-07-26,
73,Greed,2025-07-27,
75,Greed,2025-07-28,
73,Greed,2025-07-29,
74,Greed,2025-07-30,
72,Greed,2025-07-31,
65,Greed,2025-08-01,
55,Greed,2025-08-02,
53,Neutral,2025-08-03,
64,Greed,2025-08-04,
60,Greed,2025-08-05,
54,Neutral,2025-08-06,
62,Greed,2025-08-07,
74,Greed,2025-08-08,
67,Greed,2025-08-09,
69,Greed,2025-08-10,
70,Greed,2025-08-11,
68,Greed,2025-08-12,
73,Greed,2025-08-13,
75,Greed,2025-08-14,
60,Greed,2025-08-15,
56,Greed,2025-08-16,
64,Greed,2025-08-17,
60,Greed,2025-08-18,
56,Greed,2025-08-19,
44,Fear,2025-08-20,
50,Neutral,2025-08-21,
50,Neutral,2025-08-22,
60,Greed,2025-08-23,
53,Neutral,2025-08-24,
47,Neutral,2025-08-25,
48,Neutral,2025-08-26,
51,Neutral,2025-08-27,
48,Neutral,2025-08-28,
50,Neutral,2025-08-29,
39,Fear,2025-08-30,
48,Neutral,2025-08-31,
46,Fear,2025-09-01,
49,Neutral,2025-09-02,
55,Greed,2025-09-03,
51,Neutral,2025-09-04,
48,Neutral,2025-09-05,
48,Neutral,2025-09-06,
44,Fear,2025-09-07,
51,Neutral,2025-09-08,
48,Neutral,2025-09-09,
49,Neutral,2025-09-10,
54,Neutral,2025-09-11,
57,Greed,2025-09-12,
52,Neutral,2025-09-13,
55,Greed,2025-09-14,
53,Neutral,2025-09-15,
52,Neutral,2025-09-16,
53,Neutral,2025-09-17,
52,Neutral,2025-09-18,
53,Neutral,2025-09-19,
48,Neutral,2025-09-20,
49,Neutral,2025-09-21,
45,Fear,2025-09-22,
43,Fear,2025-09-23,
44,Fear,2025-09-24,
44,Fear,2025-09-25,
28,Fear,2025-09-26,
33,Fear,2025-09-27,
37,Fear,2025-09-28,
50,Neutral,2025-09-29,
50,Neutral,2025-09-30,
49,Neutral,2025-10-01,
64,Greed,2025-10-02,18678
