[2025-10-05 08:59:17.970822] Error scanning token ONDO: 'NoneType' object has no attribute 'get'
[2025-10-05 09:03:28.995654] Token: ONDO | Whale txs found: 58 | Blocks scanned: 1 to 23510544
[2025-10-05 09:28:56.919982] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23510545 to 23510670
[2025-10-05 10:08:53.574099] Token: ONDO | Whale txs found: 1 | Blocks scanned: 23510671 to 23510869
[2025-10-05 10:38:50.065998] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23510870 to 23511019
[2025-10-05 10:58:31.250406] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23511020 to 23511117
[2025-10-05 11:18:07.502344] Token: ONDO | Whale txs found: 1 | Blocks scanned: 23511118 to 23511215
[2025-10-05 11:38:19.690042] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23511216 to 23511317
[2025-10-05 11:58:49.465457] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23511318 to 23511419
[2025-10-05 12:17:10.425363] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23511420 to 23511511
[2025-10-05 12:19:53.955459] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23511512 to 23511524
[2025-10-05 12:24:13.478166] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23511525 to 23511546
[2025-10-05 12:31:06.066580] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23511547 to 23511580
[2025-10-05 13:02:18.465638] Token: ONDO | Whale txs found: 1 | Blocks scanned: 23511581 to 23511736
[2025-10-05 14:56:10.850942] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23512040 to 23512304
[2025-10-05 15:24:48.167666] Token: ONDO | Whale txs found: 5 | Blocks scanned: 23512305 to 23512446
[2025-10-05 15:43:39.640504] Token: ONDO | Whale txs found: 1 | Blocks scanned: 23512447 to 23512539
[2025-10-05 15:55:29.145586] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23512540 to 23512596
[2025-10-05 16:50:56.577291] Token: ONDO | Whale txs found: 2 | Blocks scanned: 23512597 to 23512873
[2025-10-06 05:02:49.106765] Token: ONDO | Whale txs found: 8 | Blocks scanned: 23514039 to 23516514
[2025-10-06 05:21:41.246079] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23516515 to 23516608
[2025-10-06 05:27:36.963193] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23516609 to 23516637
[2025-10-06 06:09:30.595582] Token: ONDO | Whale txs found: 2 | Blocks scanned: 23516638 to 23516845
[2025-10-06 06:31:54.190804] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23516846 to 23516957
[2025-10-06 06:45:08.360303] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23516996 to 23517023
[2025-10-06 07:15:28.883893] Token: ONDO | Whale txs found: 1 | Blocks scanned: 23517024 to 23517174
[2025-10-06 07:44:02.712046] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23517175 to 23517316
[2025-10-06 07:53:01.447403] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23517317 to 23517360
[2025-10-06 07:58:58.363569] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23517361 to 23517389
[2025-10-07 08:25:24.095609] Token: ONDO | Whale txs found: 4 | Blocks scanned: 23523142 to 23524667
[2025-10-07 08:48:31.195837] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23524668 to 23524784
[2025-10-07 09:01:43.278846] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23524785 to 23524849
[2025-10-07 09:17:36.144485] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23524850 to 23524928
[2025-10-07 09:24:17.103864] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23524929 to 23524961
[2025-10-07 09:33:55.903543] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23524962 to 23525009
[2025-10-07 11:00:32.498519] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23525010 to 23525441
[2025-10-07 11:03:52.575664] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23525442 to 23525458
[2025-10-07 11:17:41.215077] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23525459 to 23525526
[2025-10-07 12:24:42.393120] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23525527 to 23525858
[2025-10-07 12:38:24.574975] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23525859 to 23525927
[2025-10-07 13:10:34.269801] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23525928 to 23526087
[2025-10-07 13:53:01.321035] Token: ONDO | Whale txs found: 3 | Blocks scanned: 23526088 to 23526298
[2025-10-07 16:06:18.122044] Token: ONDO | Whale txs found: 4 | Blocks scanned: 23526299 to 23526959
[2025-10-07 16:38:11.540822] Token: ONDO | Whale txs found: 2 | Blocks scanned: 23526960 to 23527118
