[2025-10-05 08:59:18.477526] Error scanning token RENDER: 'NoneType' object has no attribute 'get'
[2025-10-05 09:03:41.245547] Token: RENDER | Whale txs found: 30 | Blocks scanned: 1 to 23510545
[2025-10-05 09:29:05.134851] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23510546 to 23510671
[2025-10-05 10:08:57.655631] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23510672 to 23510870
[2025-10-05 10:38:54.628229] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23510871 to 23511020
[2025-10-05 10:58:35.912696] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23511021 to 23511118
[2025-10-05 11:18:11.893954] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23511119 to 23511216
[2025-10-05 11:38:23.782031] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23511217 to 23511317
[2025-10-05 11:58:54.341439] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23511318 to 23511419
[2025-10-05 12:17:15.269613] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23511420 to 23511511
[2025-10-05 12:19:58.190385] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23511512 to 23511525
[2025-10-05 12:24:18.709469] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23511526 to 23511547
[2025-10-05 12:31:11.982171] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23511548 to 23511581
[2025-10-05 13:02:23.859026] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23511582 to 23511737
[2025-10-05 14:56:17.168411] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23512041 to 23512304
[2025-10-05 15:24:53.215075] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23512305 to 23512446
[2025-10-05 15:43:43.862174] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23512447 to 23512540
[2025-10-05 15:55:35.789058] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23512541 to 23512597
[2025-10-05 16:51:00.433065] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23512598 to 23512874
[2025-10-06 05:02:55.637565] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23514041 to 23516515
[2025-10-06 05:21:54.803304] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23516516 to 23516609
[2025-10-06 05:27:45.598110] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23516610 to 23516639
[2025-10-06 06:09:38.572934] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23516640 to 23516846
[2025-10-06 06:31:59.611753] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23516847 to 23516958
[2025-10-06 06:45:12.538656] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23516997 to 23517024
[2025-10-06 07:15:33.580767] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23517025 to 23517174
[2025-10-06 07:44:05.953362] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23517175 to 23517317
[2025-10-06 07:53:06.951211] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23517318 to 23517361
[2025-10-06 07:59:03.857231] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23517362 to 23517390
[2025-10-07 08:25:29.115528] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23523143 to 23524668
[2025-10-07 08:48:36.021521] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23524669 to 23524784
[2025-10-07 09:01:50.318846] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23524785 to 23524850
[2025-10-07 09:17:41.705607] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23524851 to 23524928
[2025-10-07 09:24:24.528890] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23524929 to 23524962
[2025-10-07 09:34:00.683244] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23524963 to 23525010
[2025-10-07 11:00:38.348883] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23525011 to 23525442
[2025-10-07 11:03:58.084139] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23525443 to 23525459
[2025-10-07 11:17:45.471095] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23525460 to 23525527
[2025-10-07 12:24:46.620020] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23525528 to 23525859
[2025-10-07 12:38:31.731494] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23525860 to 23525927
[2025-10-07 13:10:38.625486] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23525928 to 23526088
[2025-10-07 13:53:06.332114] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23526089 to 23526299
[2025-10-07 16:06:22.236453] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23526300 to 23526959
[2025-10-07 16:38:17.756850] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23526960 to 23527120
[2025-10-07 16:39:19.854568] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23527121 to 23527124
[2025-10-07 16:39:51.507901] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23527125 to 23527127
[2025-10-07 16:43:29.811309] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23527128 to 23527145
[2025-10-07 16:50:00.984973] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23527146 to 23527177
[2025-10-07 17:34:43.083043] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23527178 to 23527401
[2025-10-07 17:41:52.281515] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23527402 to 23527437
[2025-10-07 17:55:08.001995] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23527483 to 23527502
[2025-10-07 18:08:49.669046] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23527503 to 23527570
[2025-10-07 18:32:13.135251] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23527571 to 23527686
[2025-10-07 18:43:55.885913] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23527687 to 23527745
[2025-10-08 02:13:32.671564] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23527860 to 23529983
[2025-10-08 12:30:16.908521] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23532921 to 23533038
[2025-10-08 14:21:15.839621] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23533396 to 23533588
[2025-10-08 15:22:16.018121] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23533830 to 23533891
[2025-10-08 15:32:43.272614] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23533892 to 23533944
[2025-10-08 16:01:30.794294] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23533945 to 23534086
[2025-10-08 16:20:22.894253] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23534087 to 23534180
[2025-10-08 16:36:23.638043] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23534181 to 23534258
[2025-10-08 16:51:15.069023] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23534259 to 23534332
[2025-10-08 17:08:23.873959] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23534333 to 23534416
[2025-10-08 17:24:50.772345] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23534417 to 23534497
[2025-10-08 17:47:15.797540] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23534498 to 23534607
[2025-10-08 17:53:18.908298] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23534608 to 23534638
[2025-10-08 19:34:08.369434] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23534890 to 23535139
[2025-10-08 19:38:02.117959] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23535140 to 23535158
[2025-10-08 19:54:15.325117] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23535159 to 23535238
[2025-10-08 23:52:47.310141] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23535239 to 23536423
[2025-10-09 00:09:26.624500] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23536424 to 23536506
[2025-10-09 00:13:43.739282] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23536507 to 23536528
[2025-10-09 00:41:28.943741] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23536529 to 23536666
[2025-10-09 01:33:14.226019] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23536868 to 23536925
[2025-10-10 19:32:17.355728] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23549302 to 23549431
[2025-10-10 19:44:47.484535] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23549432 to 23549494
[2025-10-11 07:47:43.267634] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23549495 to 23553085
[2025-10-11 08:48:25.945005] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23553086 to 23553387
[2025-10-11 09:06:03.507554] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23553388 to 23553474
[2025-10-11 09:52:03.201626] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23553475 to 23553705
[2025-10-11 10:30:31.072737] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23553706 to 23553898
[2025-10-11 10:48:50.839983] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23553899 to 23553988
[2025-10-11 11:23:50.722524] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23553989 to 23554162
[2025-10-11 12:08:49.159076] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23554163 to 23554387
[2025-10-11 12:21:08.507145] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23554388 to 23554448
[2025-10-11 12:34:28.444535] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23554449 to 23554513
[2025-10-11 13:22:45.654203] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23554514 to 23554753
[2025-10-11 14:31:10.761744] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23554754 to 23555094
[2025-10-11 15:00:13.049746] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23555095 to 23555238
[2025-10-11 15:15:42.549586] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23555304 to 23555315
[2025-10-11 15:36:36.476512] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23555316 to 23555419
[2025-10-11 15:55:33.124739] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23555420 to 23555511
[2025-10-11 16:30:03.564316] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23555520 to 23555682
[2025-10-11 16:53:30.387827] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23555683 to 23555798
[2025-10-11 17:02:51.709566] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23555799 to 23555845
[2025-10-11 17:14:35.376000] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23555846 to 23555903
[2025-10-11 18:34:35.993132] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23556080 to 23556299
[2025-10-12 04:14:59.137822] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23559137 to 23559187
[2025-10-12 07:02:48.268817] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23559923 to 23560023
[2025-10-12 07:19:51.494998] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23560024 to 23560107
[2025-10-12 08:04:26.377027] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23560108 to 23560329
[2025-10-12 09:57:16.663824] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23560330 to 23560891
[2025-10-12 14:59:53.702325] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23562106 to 23562395
[2025-10-12 15:38:54.407469] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23562396 to 23562588
[2025-10-12 16:31:54.849822] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23562589 to 23562853
[2025-10-12 17:06:14.099237] Token: RENDER | Whale txs found: 0 | Blocks scanned: 23562854 to 23563025
